index,detected,Oval,Rectangle,Round,Square
180,True,0.41133816783431437,0.11901506989678434,0.2217961072523572,0.24785065501654407
181,False,,,,
182,True,0.2752279958872912,0.04073111237767563,0.36038341234214266,0.32365747939289047
183,True,0.2588141336406157,0.06374922106873482,0.3580876384788838,0.3193490068117656
184,True,0.4474276817938029,0.04420513462243886,0.2522050995874784,0.25616208399627993
185,True,0.2400928683536128,0.11027186705267478,0.33308402864882936,0.31655123594488327
186,True,0.3164336143603448,0.021866437326675883,0.33208200804238774,0.3296179402705915
187,True,0.5242834824194276,0.019912480929327216,0.22797140997225973,0.22783262667898557
188,True,0.22684622592213546,0.09043316783987015,0.36431743071392914,0.3184031755240653
189,True,0.2214461814526917,0.018807832571764334,0.3997193531992495,0.3600266327762944
190,True,0.17308377686076715,0.48036898981222204,0.16954404825824487,0.17700318506876572
191,True,0.25177918334204,0.027548126095687932,0.366002159490213,0.3546705310720591
192,True,0.24603355260045653,0.1271120078995587,0.32809175161531995,0.2987626878846649
193,True,0.49121016659845085,0.08373722962715878,0.19724541762460704,0.22780718614978332
194,True,0.30366974014992076,0.035522471231413194,0.34720920084818085,0.3135985877704852
195,True,0.4546186595571619,0.1325094194549526,0.1892550498699471,0.22361687111793843
196,True,0.261935689621647,0.025855043750256393,0.37485662123200963,0.33735264539608706
197,True,0.14714730807569937,0.07744694919829338,0.43302011317636335,0.34238562954964386
198,True,0.2870259197090102,0.06127919193573894,0.3565071893261059,0.2951876990291449
199,True,0.26486078900297017,0.009867263235540656,0.40296467479008496,0.32230727297140427
200,True,0.263087470534079,0.08591231643283807,0.33066104804791563,0.3203391649851674
201,True,0.2773728930301114,0.02086402283127761,0.3720158745030061,0.32974720963560483
202,False,,,,
203,True,0.30932016224316516,0.08997992424463268,0.3105757707711881,0.29012414274101406
204,True,0.5978314379501289,0.026950785397059765,0.18177777573088547,0.19344000092192581
205,True,0.19451639340694657,0.26690126181246876,0.2782630187298297,0.26031932605075486
206,True,0.23239237395418127,0.029170772985500738,0.4032071719920294,0.3352296810682886
207,True,0.21978351879301,0.06009477276481792,0.387080282421107,0.333041426021065
208,True,0.3691051232165584,0.009271924891418188,0.32724585142762963,0.2943771004643937
209,True,0.18804793768297004,0.0283456188581806,0.4526306209887138,0.33097582247013546
210,False,,,,
211,True,0.37979928508900945,0.07883400641821461,0.27490274495867917,0.2664639635340968
212,False,,,,
213,True,0.24665344722837232,0.02698348341169333,0.40275306478416273,0.32361000457577155
