index,detected,Oval,Rectangle,Round,Square
62,True,0.004711594832113006,0.11605832907225501,0.5086113174783897,0.3706187586172423
63,True,0.03025001314737931,0.1334952333639628,0.5027454577893358,0.33350929569932203
64,False,,,,
65,True,0.03901372752339123,0.1089595361022494,0.4511272595333286,0.4008994768410308
66,True,0.021281572871991308,0.16470929803304563,0.5048479006916413,0.3091612284033217
67,True,0.019307307635477115,0.7046005581706803,0.17314404703472105,0.10294808715912138
68,False,,,,
69,True,0.16705871447483958,0.36937425354294295,0.1775521242391417,0.28601490774307575
70,True,0.12447480751676555,0.22069169733176672,0.3450685149887954,0.3097649801626724
71,True,0.01118243776401925,0.13268458984082265,0.4208970245801416,0.43523594781501657
72,True,0.041245142698181164,0.23144143834252226,0.4135083533048817,0.3138050656544148
73,True,0.03440404168534403,0.20406993470244433,0.5782439441645468,0.18328207944766486
74,True,0.11200034035015922,0.2282081828869983,0.30643967949590983,0.3533517972669326
75,True,0.07652112905905155,0.10527855302022346,0.38788555607188513,0.4303147618488397
76,False,,,,
77,True,0.09786914464734504,0.14610377284872875,0.3955013295823179,0.3605257529216083
78,False,,,,
79,True,0.03801174771976525,0.23485124214896655,0.446442167681663,0.28069484244960524
80,False,,,,
81,True,0.0063262977341665945,0.09505583915707788,0.6041213986028177,0.29449646450593797
82,False,,,,
83,True,0.26457660048131343,0.259637651210688,0.22467759966492956,0.25110814864306913
84,False,,,,
85,True,0.013073654627815302,0.18970938191516662,0.5295910458706836,0.26762591758633447
86,False,,,,
87,True,0.9009762828544247,0.04350474722678351,0.014942021829083219,0.0405769480897087
88,True,0.018917556320110367,0.20049481148492784,0.26912189653961954,0.5114657356553423
89,True,0.009718841961134515,0.3353857449865368,0.45288213293789686,0.20201328011443181
90,True,0.412712219788376,0.23028921300606264,0.14775352636583658,0.20924504083972464
91,True,0.05970812212609222,0.19419644897902102,0.4406217378724966,0.30547369102239014
92,True,0.04974651204450132,0.19765540578185217,0.28482839078546585,0.4677696913881808
93,True,0.028483746273748056,0.42385877789144133,0.3626579365862897,0.18499953924852092
94,True,0.0021153056922377216,0.32065679660897334,0.6420231496827056,0.035204748016083295
95,True,0.015982388965707278,0.19056796497434636,0.5382002721832779,0.2552493738766685
96,False,,,,
97,True,0.376687932143109,0.14188840366546138,0.25393113318316024,0.22749253100826944
98,True,0.013022223974763459,0.60400895136636,0.3392358058944311,0.04373301876444559
99,True,0.006902247480985852,0.44838877713619435,0.371283365444702,0.17342560993811784
100,False,,,,
101,True,0.045814229350570425,0.2091679621361427,0.46775032369675423,0.2772674848165327
102,True,0.06731649350354164,0.48787003902008375,0.24039193120882388,0.2044215362675508
103,True,0.3418946507061631,0.27024007351143603,0.1757235134448905,0.21214176233751042
104,True,0.0176272032458812,0.2544383999674529,0.3349407279942027,0.3929936687924633
105,True,0.4637913355810706,0.17230932183204475,0.18630597750383002,0.1775933650830546
106,True,0.03203846356678848,0.21284826003690058,0.3769794626263537,0.37813381376995725
107,True,0.002553127154652137,0.1217605751356988,0.6195508687751783,0.25613542893447083
108,True,0.006448725801190893,0.5169218751453841,0.3286190277116089,0.14801037134181616
109,True,0.3929867048359972,0.07976532384003784,0.1518267257995516,0.37542124552441347
110,False,,,,
111,True,0.11649371517455204,0.2011889847617561,0.3529913742178181,0.32932592584587367
112,True,0.015674750797810555,0.6093690797601473,0.13190630969262523,0.243049859749417
113,True,0.03138182587326124,0.21719835276404154,0.393927846338072,0.3574919750246252
114,True,0.017848230796774524,0.19265225927143537,0.5193479400578491,0.27015156987394096
115,True,0.31757342506991315,0.15779797969460044,0.24371375356167801,0.2809148416738084
116,False,,,,
117,True,0.14749370003307286,0.14444014875284272,0.43040169964649555,0.27766445156758895
118,False,,,,
119,True,0.23884382751214592,0.49681412815265313,0.1053472704271764,0.15899477390802458
120,True,0.005396447498658151,0.6057459785347218,0.24344303806766285,0.14541453589895717
121,False,,,,
122,True,0.055180227631916184,0.4292761828540423,0.29784176547530333,0.2177018240387382
123,True,0.02495724270085675,0.20713106102951945,0.47605012714849054,0.29186156912113337
124,True,0.009128887548979846,0.14970502107610853,0.4977594826147388,0.3434066087601728
125,True,0.2591319796276364,0.341914955592869,0.11496580814681508,0.2839872566326794
126,False,,,,
127,True,0.043516832555158855,0.3080677572766359,0.3833221560053621,0.2650932541628431
128,True,0.001976529884225673,0.6454364376407986,0.20157976782739606,0.15100726464757955
129,True,0.02251217822287108,0.6653836656494994,0.24250623097815116,0.06959792514947859
130,True,0.06591895267807606,0.2779117773114429,0.2935817349122348,0.36258753509824626
131,False,,,,
132,True,0.007966506284235819,0.09380161673341424,0.55041811482536,0.34781376215699
133,True,0.4722501588432922,0.2658689291647969,0.11305845046051216,0.14882246153139866
134,True,0.23493353659203292,0.3869520556524267,0.20335753197215836,0.17475687578338203
